,About,Author,Quote,Tags
21,http://quotes.toscrape.com/author/Ralph-Waldo-Emerson,Ralph Waldo Emerson,For every minute you are angry you lose sixty seconds of happiness.,happiness
22,http://quotes.toscrape.com/author/Mother-Teresa,Mother Teresa,"If you judge people, you have no time to love them.",attributed-no-source
23,http://quotes.toscrape.com/author/Garrison-Keillor,Garrison Keillor,Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,humor;religion
24,http://quotes.toscrape.com/author/Jim-Henson,Jim Henson,Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,humor
25,http://quotes.toscrape.com/author/Dr-Seuss,Dr. Seuss,"Today you are You, that is truer than true. There is no one alive who is Youer than You.",comedy;life;yourself
26,http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",children;fairy-tales
27,http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",
28,http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,Logic will get you from A to Z; imagination will get you everywhere.,imagination
29,http://quotes.toscrape.com/author/Bob-Marley,Bob Marley,"One good thing about music, when it hits you, you feel no pain.",music
30,http://quotes.toscrape.com/author/Dr-Seuss,Dr. Seuss,"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",learning;reading;seuss
31,http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",dumbledore
32,http://quotes.toscrape.com/author/Bob-Marley,Bob Marley,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",friendship
33,http://quotes.toscrape.com/author/Mother-Teresa,Mother Teresa,Not all of us can do great things. But we can do small things with great love.,misattributed-to-mother-teresa;paraphrased
34,http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"To the well-organized mind, death is but the next great adventure.",death;inspirational
35,http://quotes.toscrape.com/author/Charles-M-Schulz,Charles M. Schulz,All you need is love. But a little chocolate now and then doesn't hurt.,chocolate;food;humor
36,http://quotes.toscrape.com/author/William-Nicholson,William Nicholson,We read to know we're not alone.,misattributed-to-c-s-lewis;reading
37,http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,Any fool can know. The point is to understand.,knowledge;learning;understanding;wisdom
38,http://quotes.toscrape.com/author/Jorge-Luis-Borges,Jorge Luis Borges,I have always imagined that Paradise will be a kind of library.,books;library
39,http://quotes.toscrape.com/author/George-Eliot,George Eliot,It is never too late to be what you might have been.,inspirational
40,http://quotes.toscrape.com/author/George-R-R-Martin,George R.R. Martin,"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",read;readers;reading;reading-books
41,http://quotes.toscrape.com/author/C-S-Lewis,C.S. Lewis,You can never get a cup of tea large enough or a book long enough to suit me.,books;inspirational;reading;tea
42,http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,You believe lies so you eventually learn to trust no one but yourself.,
43,http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"If you can make a woman laugh, you can make her do anything.",girls;love
44,http://quotes.toscrape.com/author/Albert-Einstein,Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving.",life;simile
45,http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,love
46,http://quotes.toscrape.com/author/Marilyn-Monroe,Marilyn Monroe,"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",attributed-no-source
47,http://quotes.toscrape.com/author/Martin-Luther-King-Jr,Martin Luther King Jr.,Only in the darkness can you see the stars.,hope;inspirational
48,http://quotes.toscrape.com/author/J-K-Rowling,J.K. Rowling,"It matters not what someone is born, but what they grow to be.",dumbledore
49,http://quotes.toscrape.com/author/James-Baldwin,James Baldwin,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",love
